Website,Link,Broadband Provider,Link Load Time (Average of 5 tries),Link is dead or timed out (Y/N)
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/netnrega/homesearch.htm,ACT-Fibernet,306.8,N
https://nrega.nic.in/netnrega/home.aspx,http://gandhi.gov.in/,ACT-Fibernet,1702.4,N
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://nrega.nic.in/netnrega/home.aspx,https://www.facebook.com/iecmgnrega/,ACT-Fibernet,838.2,N
https://nrega.nic.in/netnrega/home.aspx,https://www.youtube.com/channel/UCIicGPL5tTD23FvCDFOhrOA?view_as=subscriber,ACT-Fibernet,1082.4,N
https://nrega.nic.in/netnrega/home.aspx,https://mgnregasuccess.wordpress.com/,ACT-Fibernet,937.6,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/amendments_2005_2018.pdf,ACT-Fibernet,36.8,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/netnrega/guidelines.aspx,ACT-Fibernet,948.2,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/MNREGA_Dist.pdf,ACT-Fibernet,29.2,N
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/Netnrega/mpr_ht/nregampr_dmu_mis.aspx?fin_year=2015-2016&month=Latest&flag=1&page1=S&Digest=YNM1xjNNDz0MWPXC1L4hCQ,ACT-Fibernet,27.6,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/netnrega/circular_new.aspx,ACT-Fibernet,1080.8,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/netnrega/tour_observe.aspx,ACT-Fibernet,27.4,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/netnrega/Monthly_DoLetters.aspx,ACT-Fibernet,25.6,N
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/netnrega/new_DBT_aadhaar_calendar_report.aspx?fin_year=2016-2017,ACT-Fibernet,29.6,N
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/netnrega/bank_rpt_link.aspx,ACT-Fibernet,23.0,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/netnrega/Homecost.aspx,ACT-Fibernet,712.2,N
https://nrega.nic.in/netnrega/home.aspx,http://www.nrega.nic.in/CEGC.htm,ACT-Fibernet,331.2,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/Reference_center.asp,ACT-Fibernet,108.4,N
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/nregasitemap.htm,ACT-Fibernet,34.0,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/,ACT-Fibernet,7096.4,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/netnrega/Homepanch.aspx,ACT-Fibernet,1436.2,N
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/netnrega/workers/wrkinfo.aspx,ACT-Fibernet,167.8,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/Netnrega/Homeagency.aspx,ACT-Fibernet,930.4,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/netnrega/Homedpc.aspx,ACT-Fibernet,936.2,N
