Website,Link,Broadband Provider,Link Load Time (Average of 5 tries),Link is dead or timed out (Y/N)
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/netnrega/homesearch.htm,ACT-Fibernet,387.0,N
https://nrega.nic.in/netnrega/home.aspx,http://gandhi.gov.in/,ACT-Fibernet,1640.6,N
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://nrega.nic.in/netnrega/home.aspx,https://www.facebook.com/iecmgnrega/,ACT-Fibernet,1021.0,N
https://nrega.nic.in/netnrega/home.aspx,https://www.youtube.com/channel/UCIicGPL5tTD23FvCDFOhrOA?view_as=subscriber,ACT-Fibernet,1013.4,N
https://nrega.nic.in/netnrega/home.aspx,https://mgnregasuccess.wordpress.com/,ACT-Fibernet,2012.0,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/amendments_2005_2018.pdf,ACT-Fibernet,37.4,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/netnrega/guidelines.aspx,ACT-Fibernet,1012.8,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/MNREGA_Dist.pdf,ACT-Fibernet,31.0,N
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/Netnrega/mpr_ht/nregampr_dmu_mis.aspx?fin_year=2015-2016&month=Latest&flag=1&page1=S&Digest=YNM1xjNNDz0MWPXC1L4hCQ,ACT-Fibernet,26.6,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/netnrega/circular_new.aspx,ACT-Fibernet,1525.6,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/netnrega/tour_observe.aspx,ACT-Fibernet,27.0,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/netnrega/Monthly_DoLetters.aspx,ACT-Fibernet,25.8,N
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/netnrega/new_DBT_aadhaar_calendar_report.aspx?fin_year=2016-2017,ACT-Fibernet,30.0,N
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/netnrega/bank_rpt_link.aspx,ACT-Fibernet,22.2,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/netnrega/Homecost.aspx,ACT-Fibernet,1020.0,N
https://nrega.nic.in/netnrega/home.aspx,http://www.nrega.nic.in/CEGC.htm,ACT-Fibernet,700.0,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/Reference_center.asp,ACT-Fibernet,219.8,N
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/nregasitemap.htm,ACT-Fibernet,33.2,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/,ACT-Fibernet,7880.4,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/netnrega/Homepanch.aspx,ACT-Fibernet,1141.2,N
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/netnrega/workers/wrkinfo.aspx,ACT-Fibernet,282.2,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/Netnrega/Homeagency.aspx,ACT-Fibernet,1184.6,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/netnrega/Homedpc.aspx,ACT-Fibernet,808.2,N
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://nrega.nic.in/netnrega/home.aspx,http://nregarep2.nic.in/netnrega/dynamic2/dynamicreport_new4.aspx,ACT-Fibernet,371.2,N
https://nrega.nic.in/netnrega/home.aspx,https://nregade.nic.in/netnrega/statepage.aspx?check=Unnati,ACT-Fibernet,161.4,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/Netnrega/stHome.aspx,ACT-Fibernet,1112.2,N
https://nrega.nic.in/netnrega/home.aspx,http://nregade.nic.in/netnrega/Statepage.aspx?check=b_po,ACT-Fibernet,189.0,N
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://nrega.nic.in/netnrega/home.aspx,http://bhuvan.nrsc.gov.in/governance/mgnrega,ACT-Fibernet,183.2,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/netnrega/convergence/conindex.aspx,ACT-Fibernet,4253.8,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/netnrega/HomeAdmin.aspx,ACT-Fibernet,336.4,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/netnrega/SocialAuditFindings/SA_home.aspx,ACT-Fibernet,8511.6,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/Netnrega/stHome.aspx?check=KSK,ACT-Fibernet,1141.4,N
https://nrega.nic.in/netnrega/home.aspx,http://nregade.nic.in/netnrega/statepage.aspx?check=coop,ACT-Fibernet,166.2,N
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/netnrega/cso_cft/CSOlogin.aspx,ACT-Fibernet,380.6,N
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/netnrega/SupremeCourtMatter.aspx,ACT-Fibernet,37.0,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/Netnrega/WriteReaddata/Circulars/VRP_TraningManual.pdf,ACT-Fibernet,22.8,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/Netnrega/Data/SoP_TimelypaymentMGNREGA.pdf,ACT-Fibernet,23.2,N
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/netnrega/Janmanrega.htm,ACT-Fibernet,123.8,N
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/Netnrega/New_mgnrega.apk,ACT-Fibernet,102.0,N
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/Netnrega/latest_Nsoft_PPT_(MMS).pdf,ACT-Fibernet,35.8,N
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/Netnrega/app-release.apk,ACT-Fibernet,37.0,N
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/Circular_Archive/archive/MGNREGA_PerformanceReport27June2016.pdf,ACT-Fibernet,28.8,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/Circular_Archive/archive/RTP2016_English.pdf,ACT-Fibernet,26.8,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/Circular_Archive/archive/RTP2016_Hindi.pdf,ACT-Fibernet,32.4,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/Circular_Archive/archive/Report_on_SAMARTHYA_technical_training.pdf,ACT-Fibernet,32.6,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/netnrega/national_workshop_new.aspx,ACT-Fibernet,441.4,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/Circular_Archive/archive/MGNREGA_Sameeksha2_English.pdf,ACT-Fibernet,25.6,N
